"shipment_no","shipment_date","shipment_status"
SHIPMENT099,2024-03-16,DONE
SHIPMENT100,2024-02-18,CANCELLED
SHIPMENT101,2024-03-09,RUNNING
SHIPMENT102,2024-02-27,DONE
SHIPMENT103,2024-03-21,RUNNING
SHIPMENT104,2024-03-22,CANCELLED
SHIPMENT105,2024-02-14,DONE
SHIPMENT106,2024-02-07,RUNNING
SHIPMENT107,2024-03-21,DONE
SHIPMENT108,2024-03-16,DONE
SHIPMENT109,2024-03-24,DONE
SHIPMENT110,2024-02-11,RUNNING
SHIPMENT111,2024-02-13,CANCELLED
SHIPMENT112,2024-03-05,DONE
SHIPMENT113,2024-03-16,CANCELLED
SHIPMENT114,2024-02-17,RUNNING
SHIPMENT115,2024-03-19,CANCELLED
SHIPMENT116,2024-04-03,RUNNING
SHIPMENT117,2024-03-01,CANCELLED
SHIPMENT118,2024-03-28,RUNNING
SHIPMENT119,2024-03-10,RUNNING
SHIPMENT120,2024-02-27,CANCELLED
SHIPMENT121,2024-02-26,DONE
SHIPMENT122,2024-03-30,CANCELLED
SHIPMENT123,2024-03-26,CANCELLED
SHIPMENT124,2024-04-01,RUNNING
SHIPMENT125,2024-03-31,DONE
SHIPMENT126,2024-03-05,RUNNING
SHIPMENT127,2024-02-04,RUNNING
SHIPMENT128,2024-04-02,RUNNING
SHIPMENT129,2024-03-26,CANCELLED
SHIPMENT130,2024-03-11,RUNNING
SHIPMENT131,2024-02-27,RUNNING
SHIPMENT132,2024-03-11,RUNNING
SHIPMENT133,2024-03-20,RUNNING
SHIPMENT134,2024-02-06,RUNNING
SHIPMENT135,2024-02-07,DONE
SHIPMENT136,2024-03-15,DONE
SHIPMENT137,2024-03-18,RUNNING
SHIPMENT138,2024-03-17,RUNNING
SHIPMENT139,2024-03-01,DONE
SHIPMENT140,2024-03-20,RUNNING
SHIPMENT141,2024-02-27,RUNNING
SHIPMENT142,2024-03-03,DONE
SHIPMENT143,2024-03-01,DONE
SHIPMENT144,2024-02-18,CANCELLED
SHIPMENT145,2024-02-04,DONE
SHIPMENT146,2024-02-08,DONE
SHIPMENT147,2024-02-12,RUNNING
SHIPMENT148,2024-03-08,DONE
SHIPMENT149,2024-02-04,RUNNING
SHIPMENT150,2024-03-20,CANCELLED
SHIPMENT151,2024-03-28,RUNNING
SHIPMENT152,2024-02-11,RUNNING
SHIPMENT153,2024-03-25,RUNNING
SHIPMENT154,2024-03-22,CANCELLED
SHIPMENT155,2024-03-04,DONE
SHIPMENT156,2024-02-24,RUNNING
SHIPMENT157,2024-03-26,RUNNING
SHIPMENT158,2024-03-19,RUNNING
SHIPMENT159,2024-03-21,DONE
SHIPMENT160,2024-03-15,CANCELLED
SHIPMENT161,2024-03-03,DONE
SHIPMENT162,2024-03-04,DONE
SHIPMENT163,2024-02-14,DONE
SHIPMENT164,2024-03-14,DONE
SHIPMENT165,2024-02-24,CANCELLED
SHIPMENT166,2024-03-16,CANCELLED
SHIPMENT167,2024-02-23,RUNNING
SHIPMENT168,2024-03-10,DONE
SHIPMENT169,2024-02-08,DONE
SHIPMENT170,2024-02-05,DONE
SHIPMENT171,2024-02-04,CANCELLED
SHIPMENT172,2024-02-24,CANCELLED
SHIPMENT173,2024-02-04,RUNNING
SHIPMENT174,2024-03-19,RUNNING
SHIPMENT175,2024-02-08,DONE
SHIPMENT176,2024-02-29,RUNNING
SHIPMENT177,2024-04-02,RUNNING
SHIPMENT178,2024-03-20,RUNNING
SHIPMENT179,2024-03-30,CANCELLED
SHIPMENT180,2024-03-05,DONE
SHIPMENT181,2024-02-13,RUNNING
SHIPMENT182,2024-02-19,RUNNING
SHIPMENT183,2024-02-21,CANCELLED
SHIPMENT184,2024-03-21,CANCELLED
SHIPMENT185,2024-03-08,CANCELLED
SHIPMENT186,2024-02-22,RUNNING
SHIPMENT187,2024-03-29,RUNNING
SHIPMENT188,2024-03-13,DONE
SHIPMENT189,2024-03-05,RUNNING
SHIPMENT190,2024-02-09,CANCELLED
SHIPMENT191,2024-03-13,RUNNING
SHIPMENT192,2024-02-25,DONE
SHIPMENT193,2024-03-05,CANCELLED
SHIPMENT194,2024-02-08,CANCELLED
SHIPMENT195,2024-02-23,CANCELLED
SHIPMENT196,2024-02-08,DONE
SHIPMENT197,2024-03-14,DONE
SHIPMENT198,2024-03-20,DONE
SHIPMENT199,2024-03-26,CANCELLED
SHIPMENT200,2024-04-01,DONE
SHIPMENT201,2024-04-03,CANCELLED
SHIPMENT202,2024-02-25,DONE
SHIPMENT203,2024-03-31,DONE
SHIPMENT204,2024-02-17,DONE
SHIPMENT205,2024-02-18,RUNNING
SHIPMENT206,2024-02-06,RUNNING
SHIPMENT207,2024-03-09,DONE
SHIPMENT208,2024-03-18,CANCELLED
SHIPMENT209,2024-03-02,DONE
SHIPMENT210,2024-02-16,RUNNING
SHIPMENT211,2024-02-12,RUNNING
SHIPMENT212,2024-02-18,DONE
SHIPMENT213,2024-03-11,CANCELLED
SHIPMENT214,2024-02-08,DONE
SHIPMENT215,2024-03-11,DONE
SHIPMENT216,2024-02-23,CANCELLED
SHIPMENT217,2024-03-25,DONE
SHIPMENT218,2024-02-12,DONE
SHIPMENT219,2024-03-23,RUNNING
SHIPMENT220,2024-02-06,CANCELLED
SHIPMENT221,2024-02-22,RUNNING
SHIPMENT222,2024-03-26,DONE
SHIPMENT223,2024-04-01,CANCELLED
SHIPMENT224,2024-03-01,CANCELLED
SHIPMENT225,2024-03-16,CANCELLED
SHIPMENT226,2024-02-15,CANCELLED
SHIPMENT227,2024-02-22,RUNNING
SHIPMENT228,2024-02-21,CANCELLED
SHIPMENT229,2024-02-18,DONE
SHIPMENT230,2024-02-07,DONE
SHIPMENT231,2024-03-11,CANCELLED
SHIPMENT232,2024-03-22,RUNNING
SHIPMENT233,2024-02-18,DONE
SHIPMENT234,2024-03-01,RUNNING
SHIPMENT235,2024-02-19,DONE
SHIPMENT236,2024-04-03,DONE
SHIPMENT237,2024-03-23,CANCELLED
SHIPMENT238,2024-03-30,RUNNING
SHIPMENT239,2024-03-09,DONE
SHIPMENT240,2024-02-26,DONE
SHIPMENT241,2024-03-07,RUNNING
SHIPMENT242,2024-03-24,CANCELLED
SHIPMENT243,2024-02-10,CANCELLED
SHIPMENT244,2024-03-30,CANCELLED
SHIPMENT245,2024-03-07,CANCELLED
SHIPMENT246,2024-03-17,DONE
SHIPMENT247,2024-02-04,CANCELLED
SHIPMENT248,2024-03-20,CANCELLED
SHIPMENT249,2024-03-06,RUNNING
SHIPMENT250,2024-03-26,DONE
SHIPMENT251,2024-02-24,RUNNING
SHIPMENT252,2024-02-14,RUNNING
SHIPMENT253,2024-02-17,RUNNING
SHIPMENT254,2024-03-26,RUNNING
SHIPMENT255,2024-02-17,CANCELLED
SHIPMENT256,2024-02-20,DONE
SHIPMENT257,2024-02-07,DONE
SHIPMENT258,2024-02-26,DONE
SHIPMENT259,2024-03-22,RUNNING
SHIPMENT260,2024-02-22,DONE
SHIPMENT261,2024-03-15,RUNNING
SHIPMENT262,2024-02-12,CANCELLED
SHIPMENT263,2024-02-16,CANCELLED
SHIPMENT264,2024-02-15,CANCELLED
SHIPMENT265,2024-03-19,CANCELLED
SHIPMENT266,2024-03-10,DONE
SHIPMENT267,2024-02-10,CANCELLED
SHIPMENT268,2024-03-01,DONE
SHIPMENT269,2024-02-22,DONE
SHIPMENT270,2024-03-07,CANCELLED
SHIPMENT271,2024-02-14,DONE
SHIPMENT272,2024-03-01,DONE
SHIPMENT273,2024-03-26,RUNNING
SHIPMENT274,2024-02-28,DONE
SHIPMENT275,2024-03-02,RUNNING
SHIPMENT276,2024-03-07,RUNNING
SHIPMENT277,2024-03-29,DONE
SHIPMENT278,2024-03-19,CANCELLED
SHIPMENT279,2024-02-11,RUNNING
SHIPMENT280,2024-03-11,CANCELLED
SHIPMENT281,2024-02-03,DONE
SHIPMENT282,2024-03-15,RUNNING
SHIPMENT283,2024-02-09,CANCELLED
SHIPMENT284,2024-03-28,CANCELLED
SHIPMENT285,2024-03-27,CANCELLED
SHIPMENT286,2024-03-25,CANCELLED
SHIPMENT287,2024-02-23,RUNNING
SHIPMENT288,2024-02-24,RUNNING
SHIPMENT289,2024-03-04,CANCELLED
SHIPMENT290,2024-02-27,RUNNING
SHIPMENT291,2024-02-18,RUNNING
SHIPMENT292,2024-02-10,CANCELLED
SHIPMENT293,2024-03-09,CANCELLED
SHIPMENT294,2024-03-08,RUNNING
SHIPMENT295,2024-03-30,CANCELLED
SHIPMENT296,2024-03-13,CANCELLED
SHIPMENT297,2024-02-07,DONE
SHIPMENT298,2024-02-13,DONE
SHIPMENT299,2024-02-11,DONE
SHIPMENT300,2024-03-22,CANCELLED
SHIPMENT301,2024-03-13,DONE
SHIPMENT302,2024-02-21,RUNNING
SHIPMENT303,2024-03-25,DONE
SHIPMENT304,2024-03-19,RUNNING
SHIPMENT305,2024-03-14,DONE
SHIPMENT306,2024-03-14,DONE
SHIPMENT307,2024-02-20,RUNNING
SHIPMENT308,2024-02-11,CANCELLED
SHIPMENT309,2024-03-09,DONE
SHIPMENT310,2024-02-18,CANCELLED
SHIPMENT311,2024-02-24,RUNNING
SHIPMENT312,2024-03-05,RUNNING
SHIPMENT313,2024-03-18,RUNNING
SHIPMENT314,2024-02-14,CANCELLED
SHIPMENT315,2024-02-29,DONE
SHIPMENT316,2024-02-09,RUNNING
SHIPMENT317,2024-02-23,CANCELLED
SHIPMENT318,2024-03-09,DONE
SHIPMENT319,2024-03-24,DONE
SHIPMENT320,2024-02-15,CANCELLED
SHIPMENT321,2024-03-08,DONE
SHIPMENT322,2024-02-11,RUNNING
SHIPMENT323,2024-02-04,DONE
SHIPMENT324,2024-02-23,DONE
SHIPMENT325,2024-03-18,RUNNING
SHIPMENT326,2024-02-22,CANCELLED
SHIPMENT327,2024-02-14,DONE
SHIPMENT328,2024-03-03,DONE
SHIPMENT329,2024-03-28,CANCELLED
SHIPMENT330,2024-03-20,RUNNING
SHIPMENT331,2024-03-31,CANCELLED
SHIPMENT332,2024-03-04,CANCELLED
SHIPMENT333,2024-02-27,CANCELLED
SHIPMENT334,2024-02-17,CANCELLED
SHIPMENT335,2024-02-17,CANCELLED
SHIPMENT336,2024-03-29,RUNNING
SHIPMENT337,2024-03-25,DONE
SHIPMENT338,2024-03-27,RUNNING
SHIPMENT339,2024-02-14,RUNNING
SHIPMENT340,2024-03-30,CANCELLED
SHIPMENT341,2024-03-16,DONE
SHIPMENT342,2024-04-02,RUNNING
SHIPMENT343,2024-03-15,RUNNING
SHIPMENT344,2024-02-22,CANCELLED
SHIPMENT345,2024-03-10,RUNNING
SHIPMENT346,2024-03-08,RUNNING
SHIPMENT347,2024-02-12,RUNNING
SHIPMENT348,2024-02-06,DONE
SHIPMENT349,2024-03-21,DONE
SHIPMENT350,2024-03-03,RUNNING
SHIPMENT351,2024-03-14,RUNNING
SHIPMENT352,2024-03-02,CANCELLED
SHIPMENT353,2024-03-22,DONE
SHIPMENT354,2024-04-03,RUNNING
SHIPMENT355,2024-03-09,DONE
SHIPMENT356,2024-02-11,CANCELLED
SHIPMENT357,2024-02-09,CANCELLED
SHIPMENT358,2024-02-27,RUNNING
SHIPMENT359,2024-03-03,CANCELLED
SHIPMENT360,2024-02-18,RUNNING
SHIPMENT361,2024-03-17,CANCELLED
SHIPMENT362,2024-03-20,CANCELLED
SHIPMENT363,2024-03-24,DONE
SHIPMENT364,2024-03-18,RUNNING
SHIPMENT365,2024-02-11,RUNNING
SHIPMENT366,2024-02-19,DONE
SHIPMENT367,2024-02-25,RUNNING
SHIPMENT368,2024-03-10,DONE
SHIPMENT369,2024-04-02,RUNNING
SHIPMENT370,2024-03-30,DONE
SHIPMENT371,2024-03-13,RUNNING
SHIPMENT372,2024-02-27,DONE
SHIPMENT373,2024-03-11,RUNNING
SHIPMENT374,2024-02-19,DONE
SHIPMENT375,2024-03-23,CANCELLED
SHIPMENT376,2024-02-21,RUNNING
SHIPMENT377,2024-04-03,CANCELLED
SHIPMENT378,2024-03-17,CANCELLED
SHIPMENT379,2024-02-19,DONE
SHIPMENT380,2024-03-25,DONE
SHIPMENT381,2024-03-12,RUNNING
SHIPMENT382,2024-03-24,DONE
SHIPMENT383,2024-03-30,DONE
SHIPMENT384,2024-02-25,CANCELLED
SHIPMENT385,2024-03-11,CANCELLED
SHIPMENT386,2024-03-26,DONE
SHIPMENT387,2024-02-09,CANCELLED
SHIPMENT388,2024-02-22,DONE
SHIPMENT389,2024-03-24,CANCELLED
SHIPMENT390,2024-03-09,CANCELLED
SHIPMENT391,2024-02-21,RUNNING
SHIPMENT392,2024-02-12,RUNNING
SHIPMENT393,2024-02-28,CANCELLED
SHIPMENT394,2024-03-05,CANCELLED
SHIPMENT395,2024-02-04,RUNNING
SHIPMENT396,2024-03-27,DONE
SHIPMENT397,2024-03-27,DONE
SHIPMENT398,2024-03-25,RUNNING
SHIPMENT399,2024-03-03,DONE
SHIPMENT400,2024-03-24,CANCELLED
SHIPMENT401,2024-03-17,DONE
SHIPMENT402,2024-02-20,CANCELLED
SHIPMENT403,2024-02-11,RUNNING
SHIPMENT404,2024-03-06,RUNNING
SHIPMENT405,2024-03-30,RUNNING
SHIPMENT406,2024-03-02,RUNNING
SHIPMENT407,2024-02-17,DONE
SHIPMENT408,2024-03-31,CANCELLED
SHIPMENT409,2024-03-11,CANCELLED
SHIPMENT410,2024-03-23,RUNNING
SHIPMENT411,2024-02-20,RUNNING
SHIPMENT412,2024-02-09,DONE
SHIPMENT413,2024-03-25,DONE
SHIPMENT414,2024-03-27,RUNNING
SHIPMENT415,2024-03-20,DONE
SHIPMENT416,2024-03-05,DONE
SHIPMENT417,2024-02-06,DONE
SHIPMENT418,2024-03-24,CANCELLED
SHIPMENT419,2024-02-08,RUNNING
SHIPMENT420,2024-03-20,RUNNING
SHIPMENT421,2024-02-13,DONE
SHIPMENT422,2024-03-25,DONE
SHIPMENT423,2024-02-25,RUNNING
SHIPMENT424,2024-02-08,DONE
SHIPMENT425,2024-02-07,CANCELLED
SHIPMENT426,2024-02-27,CANCELLED
SHIPMENT427,2024-02-10,RUNNING
SHIPMENT428,2024-03-14,CANCELLED
SHIPMENT429,2024-02-20,DONE
SHIPMENT430,2024-02-14,RUNNING
SHIPMENT431,2024-03-05,DONE
SHIPMENT432,2024-02-18,DONE
SHIPMENT433,2024-03-01,CANCELLED
SHIPMENT434,2024-02-05,CANCELLED
SHIPMENT435,2024-02-16,DONE
SHIPMENT436,2024-03-13,RUNNING
SHIPMENT437,2024-03-10,CANCELLED
SHIPMENT438,2024-03-09,CANCELLED
SHIPMENT439,2024-02-23,CANCELLED
SHIPMENT440,2024-03-09,RUNNING
SHIPMENT441,2024-03-14,DONE
SHIPMENT442,2024-02-22,RUNNING
SHIPMENT443,2024-04-03,RUNNING
SHIPMENT444,2024-03-12,CANCELLED
SHIPMENT445,2024-04-02,CANCELLED
SHIPMENT446,2024-03-26,RUNNING
SHIPMENT447,2024-03-31,RUNNING
SHIPMENT448,2024-02-09,CANCELLED
SHIPMENT449,2024-02-16,DONE
SHIPMENT450,2024-03-20,CANCELLED
SHIPMENT451,2024-02-10,CANCELLED
SHIPMENT452,2024-03-29,DONE
SHIPMENT453,2024-03-31,RUNNING
SHIPMENT454,2024-02-22,CANCELLED
SHIPMENT455,2024-03-28,RUNNING
SHIPMENT456,2024-02-18,CANCELLED
SHIPMENT457,2024-02-23,RUNNING
SHIPMENT458,2024-02-18,RUNNING
SHIPMENT459,2024-02-29,CANCELLED
SHIPMENT460,2024-02-21,RUNNING
SHIPMENT461,2024-03-10,RUNNING
SHIPMENT462,2024-03-10,CANCELLED
SHIPMENT463,2024-03-09,DONE
SHIPMENT464,2024-03-28,RUNNING
SHIPMENT465,2024-02-06,DONE
SHIPMENT466,2024-03-18,CANCELLED
SHIPMENT467,2024-03-27,DONE
SHIPMENT468,2024-02-17,DONE
SHIPMENT469,2024-03-28,RUNNING
SHIPMENT470,2024-03-06,CANCELLED
SHIPMENT471,2024-02-08,DONE
SHIPMENT472,2024-02-19,CANCELLED
SHIPMENT473,2024-03-19,RUNNING
SHIPMENT474,2024-02-16,CANCELLED
SHIPMENT475,2024-03-14,DONE
SHIPMENT476,2024-02-11,RUNNING
SHIPMENT477,2024-02-03,DONE
SHIPMENT478,2024-03-26,DONE
SHIPMENT479,2024-03-01,DONE
SHIPMENT480,2024-02-17,RUNNING
SHIPMENT481,2024-03-21,CANCELLED
SHIPMENT482,2024-02-19,DONE
SHIPMENT483,2024-04-02,DONE
SHIPMENT484,2024-02-22,RUNNING
SHIPMENT485,2024-02-10,RUNNING
SHIPMENT486,2024-02-09,CANCELLED
SHIPMENT487,2024-03-27,DONE
SHIPMENT488,2024-03-25,CANCELLED
SHIPMENT489,2024-03-23,RUNNING
SHIPMENT490,2024-03-08,DONE
SHIPMENT491,2024-02-06,CANCELLED
SHIPMENT492,2024-02-17,CANCELLED
SHIPMENT493,2024-03-31,RUNNING
SHIPMENT494,2024-02-23,DONE
SHIPMENT495,2024-02-16,RUNNING
SHIPMENT496,2024-02-23,DONE
SHIPMENT497,2024-03-21,RUNNING
SHIPMENT498,2024-03-04,CANCELLED
SHIPMENT499,2024-03-03,DONE
SHIPMENT500,2024-04-03,DONE
SHIPMENT501,2024-02-21,CANCELLED
SHIPMENT502,2024-04-01,CANCELLED
SHIPMENT503,2024-03-01,DONE
SHIPMENT504,2024-02-13,DONE
SHIPMENT505,2024-03-14,DONE
SHIPMENT506,2024-02-12,DONE
SHIPMENT507,2024-02-05,DONE
SHIPMENT508,2024-02-23,DONE
SHIPMENT509,2024-02-12,DONE
SHIPMENT510,2024-03-17,RUNNING
SHIPMENT511,2024-04-02,CANCELLED
SHIPMENT512,2024-02-09,CANCELLED
SHIPMENT513,2024-03-08,RUNNING
SHIPMENT514,2024-02-22,RUNNING
SHIPMENT515,2024-02-25,RUNNING
SHIPMENT516,2024-03-06,CANCELLED
SHIPMENT517,2024-03-22,DONE
SHIPMENT518,2024-02-20,CANCELLED
SHIPMENT519,2024-04-01,DONE
SHIPMENT520,2024-02-05,DONE
SHIPMENT521,2024-03-27,RUNNING
SHIPMENT522,2024-02-23,CANCELLED
SHIPMENT523,2024-03-23,CANCELLED
SHIPMENT524,2024-03-15,CANCELLED
SHIPMENT525,2024-03-10,RUNNING
SHIPMENT526,2024-02-11,CANCELLED
SHIPMENT527,2024-03-07,DONE
SHIPMENT528,2024-02-05,CANCELLED
SHIPMENT529,2024-03-18,CANCELLED
SHIPMENT530,2024-02-09,RUNNING
SHIPMENT531,2024-03-09,CANCELLED
SHIPMENT532,2024-02-25,DONE
SHIPMENT533,2024-03-27,DONE
SHIPMENT534,2024-02-04,DONE
SHIPMENT535,2024-03-10,CANCELLED
SHIPMENT536,2024-02-28,RUNNING
SHIPMENT537,2024-03-21,RUNNING
SHIPMENT538,2024-03-01,DONE
SHIPMENT539,2024-02-21,CANCELLED
SHIPMENT540,2024-03-29,DONE
SHIPMENT541,2024-03-14,DONE
SHIPMENT542,2024-02-14,DONE
SHIPMENT543,2024-03-12,RUNNING
SHIPMENT544,2024-02-13,DONE
SHIPMENT545,2024-02-13,RUNNING
SHIPMENT546,2024-03-30,RUNNING
SHIPMENT547,2024-02-26,DONE
SHIPMENT548,2024-03-01,CANCELLED
SHIPMENT549,2024-03-14,CANCELLED
SHIPMENT550,2024-03-11,CANCELLED
SHIPMENT551,2024-03-02,RUNNING
SHIPMENT552,2024-03-09,DONE
SHIPMENT553,2024-03-03,DONE
SHIPMENT554,2024-03-29,RUNNING
SHIPMENT555,2024-03-17,DONE
SHIPMENT556,2024-03-10,DONE
SHIPMENT557,2024-03-31,CANCELLED
SHIPMENT558,2024-02-18,CANCELLED
SHIPMENT559,2024-03-22,RUNNING
SHIPMENT560,2024-03-29,RUNNING
SHIPMENT561,2024-03-13,CANCELLED
SHIPMENT562,2024-03-27,RUNNING
SHIPMENT563,2024-02-11,RUNNING
SHIPMENT564,2024-02-05,RUNNING
SHIPMENT565,2024-02-10,DONE
SHIPMENT566,2024-03-08,RUNNING
SHIPMENT567,2024-02-29,DONE
SHIPMENT568,2024-02-09,DONE
SHIPMENT569,2024-03-25,DONE
SHIPMENT570,2024-02-14,RUNNING
SHIPMENT571,2024-03-30,CANCELLED
SHIPMENT572,2024-03-10,DONE
SHIPMENT573,2024-02-12,DONE
SHIPMENT574,2024-03-28,RUNNING
SHIPMENT575,2024-02-05,RUNNING
SHIPMENT576,2024-02-09,RUNNING
SHIPMENT577,2024-02-17,RUNNING
SHIPMENT578,2024-02-27,RUNNING
SHIPMENT579,2024-03-05,CANCELLED
SHIPMENT580,2024-03-26,CANCELLED
SHIPMENT581,2024-03-19,DONE
SHIPMENT582,2024-03-07,CANCELLED
SHIPMENT583,2024-03-24,CANCELLED
SHIPMENT584,2024-03-09,RUNNING
SHIPMENT585,2024-03-19,RUNNING
SHIPMENT586,2024-02-15,CANCELLED
SHIPMENT587,2024-03-25,DONE
SHIPMENT588,2024-02-27,CANCELLED
SHIPMENT589,2024-02-22,CANCELLED
SHIPMENT590,2024-03-17,CANCELLED
SHIPMENT591,2024-03-19,RUNNING
SHIPMENT592,2024-03-30,RUNNING
SHIPMENT593,2024-03-28,DONE
SHIPMENT594,2024-04-03,DONE
SHIPMENT595,2024-03-09,DONE
SHIPMENT596,2024-03-29,RUNNING
SHIPMENT597,2024-03-21,RUNNING
SHIPMENT598,2024-03-02,DONE
SHIPMENT599,2024-03-04,DONE
SHIPMENT600,2024-02-23,DONE
SHIPMENT601,2024-02-19,CANCELLED
SHIPMENT602,2024-02-24,CANCELLED
SHIPMENT603,2024-03-02,CANCELLED
SHIPMENT604,2024-03-25,CANCELLED
SHIPMENT605,2024-03-02,DONE
SHIPMENT606,2024-02-15,DONE
SHIPMENT607,2024-03-29,CANCELLED
SHIPMENT608,2024-02-20,DONE
SHIPMENT609,2024-03-05,RUNNING
SHIPMENT610,2024-02-24,DONE
SHIPMENT611,2024-03-27,RUNNING
SHIPMENT612,2024-03-15,DONE
SHIPMENT613,2024-02-12,RUNNING
SHIPMENT614,2024-04-03,DONE
SHIPMENT615,2024-02-20,CANCELLED
SHIPMENT616,2024-03-09,DONE
SHIPMENT617,2024-02-22,DONE
SHIPMENT618,2024-02-06,CANCELLED
SHIPMENT619,2024-03-03,RUNNING
SHIPMENT620,2024-03-03,DONE
SHIPMENT621,2024-03-29,DONE
SHIPMENT622,2024-02-21,CANCELLED
SHIPMENT623,2024-03-08,RUNNING
SHIPMENT624,2024-03-20,DONE
SHIPMENT625,2024-03-18,RUNNING
SHIPMENT626,2024-02-07,DONE
SHIPMENT627,2024-02-14,DONE
SHIPMENT628,2024-02-23,RUNNING
SHIPMENT629,2024-03-30,RUNNING
SHIPMENT630,2024-03-06,CANCELLED
SHIPMENT631,2024-02-28,RUNNING
SHIPMENT632,2024-03-20,RUNNING
SHIPMENT633,2024-03-31,DONE
SHIPMENT634,2024-03-04,RUNNING
SHIPMENT635,2024-03-17,DONE
SHIPMENT636,2024-02-28,CANCELLED
SHIPMENT637,2024-03-01,CANCELLED
SHIPMENT638,2024-03-25,CANCELLED
SHIPMENT639,2024-03-31,RUNNING
SHIPMENT640,2024-02-22,RUNNING
SHIPMENT641,2024-03-16,RUNNING
SHIPMENT642,2024-03-30,CANCELLED
SHIPMENT643,2024-03-27,CANCELLED
SHIPMENT644,2024-03-20,CANCELLED
SHIPMENT645,2024-03-23,RUNNING
